league,conference,division,position,team,won,lost,ties,points,records,streak,ncaa_conference
"{'id': 1, 'name': 'NFL', 'season': 2024, 'logo': 'https://media.api-sports.io/american-football/leagues/1.png', 'country': {'name': 'USA', 'code': 'US', 'flag': 'https://media.api-sports.io/flags/us.svg'}}",American Football Conference,AFC South,4,"{'id': 6, 'name': 'Tennessee Titans', 'logo': 'https://media.api-sports.io/american-football/teams/6.png'}",3,14,0,"{'for': 311, 'against': 460, 'difference': -149}","{'home': '1-7', 'road': '2-7', 'conference': '3-9', 'division': '1-5'}",L6,"{'won': None, 'lost': None, 'points': {'for': None, 'against': None}}"
"{'id': 1, 'name': 'NFL', 'season': 2024, 'logo': 'https://media.api-sports.io/american-football/leagues/1.png', 'country': {'name': 'USA', 'code': 'US', 'flag': 'https://media.api-sports.io/flags/us.svg'}}",American Football Conference,AFC West,1,"{'id': 17, 'name': 'Kansas City Chiefs', 'logo': 'https://media.api-sports.io/american-football/teams/17.png'}",15,2,0,"{'for': 385, 'against': 326, 'difference': 59}","{'home': '8-0', 'road': '7-2', 'conference': '10-2', 'division': '5-1'}",L1,"{'won': None, 'lost': None, 'points': {'for': None, 'against': None}}"
"{'id': 1, 'name': 'NFL', 'season': 2024, 'logo': 'https://media.api-sports.io/american-football/leagues/1.png', 'country': {'name': 'USA', 'code': 'US', 'flag': 'https://media.api-sports.io/flags/us.svg'}}",American Football Conference,AFC West,2,"{'id': 30, 'name': 'Los Angeles Chargers', 'logo': 'https://media.api-sports.io/american-football/teams/30.png'}",11,6,0,"{'for': 402, 'against': 301, 'difference': 101}","{'home': '5-3', 'road': '6-3', 'conference': '8-4', 'division': '4-2'}",W3,"{'won': None, 'lost': None, 'points': {'for': None, 'against': None}}"
"{'id': 1, 'name': 'NFL', 'season': 2024, 'logo': 'https://media.api-sports.io/american-football/leagues/1.png', 'country': {'name': 'USA', 'code': 'US', 'flag': 'https://media.api-sports.io/flags/us.svg'}}",American Football Conference,AFC West,3,"{'id': 28, 'name': 'Denver Broncos', 'logo': 'https://media.api-sports.io/american-football/teams/28.png'}",10,7,0,"{'for': 425, 'against': 311, 'difference': 114}","{'home': '6-2', 'road': '4-5', 'conference': '6-6', 'division': '3-3'}",W1,"{'won': None, 'lost': None, 'points': {'for': None, 'against': None}}"
"{'id': 1, 'name': 'NFL', 'season': 2024, 'logo': 'https://media.api-sports.io/american-football/leagues/1.png', 'country': {'name': 'USA', 'code': 'US', 'flag': 'https://media.api-sports.io/flags/us.svg'}}",American Football Conference,AFC West,4,"{'id': 1, 'name': 'Las Vegas Raiders', 'logo': 'https://media.api-sports.io/american-football/teams/1.png'}",4,13,0,"{'for': 309, 'against': 434, 'difference': -125}","{'home': '2-6', 'road': '2-7', 'conference': '3-9', 'division': '0-6'}",L1,"{'won': None, 'lost': None, 'points': {'for': None, 'against': None}}"
"{'id': 1, 'name': 'NFL', 'season': 2024, 'logo': 'https://media.api-sports.io/american-football/leagues/1.png', 'country': {'name': 'USA', 'code': 'US', 'flag': 'https://media.api-sports.io/flags/us.svg'}}",National Football Conference,NFC East,1,"{'id': 12, 'name': 'Philadelphia Eagles', 'logo': 'https://media.api-sports.io/american-football/teams/12.png'}",14,3,0,"{'for': 463, 'against': 303, 'difference': 160}","{'home': '8-1', 'road': '6-2', 'conference': '9-3', 'division': '5-1'}",W2,"{'won': None, 'lost': None, 'points': {'for': None, 'against': None}}"
"{'id': 1, 'name': 'NFL', 'season': 2024, 'logo': 'https://media.api-sports.io/american-football/leagues/1.png', 'country': {'name': 'USA', 'code': 'US', 'flag': 'https://media.api-sports.io/flags/us.svg'}}",National Football Conference,NFC East,2,"{'id': 18, 'name': 'Washington Commanders', 'logo': 'https://media.api-sports.io/american-football/teams/18.png'}",12,5,0,"{'for': 485, 'against': 391, 'difference': 94}","{'home': '7-2', 'road': '5-3', 'conference': '9-3', 'division': '4-2'}",W5,"{'won': None, 'lost': None, 'points': {'for': None, 'against': None}}"
"{'id': 1, 'name': 'NFL', 'season': 2024, 'logo': 'https://media.api-sports.io/american-football/leagues/1.png', 'country': {'name': 'USA', 'code': 'US', 'flag': 'https://media.api-sports.io/flags/us.svg'}}",National Football Conference,NFC East,3,"{'id': 29, 'name': 'Dallas Cowboys', 'logo': 'https://media.api-sports.io/american-football/teams/29.png'}",7,10,0,"{'for': 350, 'against': 468, 'difference': -118}","{'home': '2-7', 'road': '5-3', 'conference': '5-7', 'division': '3-3'}",L2,"{'won': None, 'lost': None, 'points': {'for': None, 'against': None}}"
"{'id': 1, 'name': 'NFL', 'season': 2024, 'logo': 'https://media.api-sports.io/american-football/leagues/1.png', 'country': {'name': 'USA', 'code': 'US', 'flag': 'https://media.api-sports.io/flags/us.svg'}}",National Football Conference,NFC East,4,"{'id': 4, 'name': 'New York Giants', 'logo': 'https://media.api-sports.io/american-football/teams/4.png'}",3,14,0,"{'for': 273, 'against': 415, 'difference': -142}","{'home': '1-8', 'road': '2-6', 'conference': '1-11', 'division': '0-6'}",L1,"{'won': None, 'lost': None, 'points': {'for': None, 'against': None}}"
"{'id': 1, 'name': 'NFL', 'season': 2024, 'logo': 'https://media.api-sports.io/american-football/leagues/1.png', 'country': {'name': 'USA', 'code': 'US', 'flag': 'https://media.api-sports.io/flags/us.svg'}}",National Football Conference,NFC North,1,"{'id': 7, 'name': 'Detroit Lions', 'logo': 'https://media.api-sports.io/american-football/teams/7.png'}",15,2,0,"{'for': 564, 'against': 342, 'difference': 222}","{'home': '7-2', 'road': '8-0', 'conference': '11-1', 'division': '6-0'}",W3,"{'won': None, 'lost': None, 'points': {'for': None, 'against': None}}"
